N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD_X,LATITUD_Y
04-2010-0186,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,6,2.131025036,41.38352989
04-2010-0187,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,7,2.131025036,41.38352989
02-2010-0034,L'EIXAMPLE,,RONDA,SANT PERE,1,3,,,,,,,1,3,2.17068944,41.38834878
07-2010-0005,HORTA-GUINARDÓ,la Font d'en Fargues,PASSEIG,MARAGALL,1,347,,,,,,,BJ,,2.167828427,41.42737362
06-2010-0069,GRACIA,Vallcarca i els Penitents,CARRER,BOLIVAR,1,17,,,,,,,BJ,,2.147248824,41.40952381
02-2010-0016,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CONSELL DE CENT,2,306,,,,,,,PR,2,2.165355521,41.39069552
02-2010-0017,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CONSELL DE CENT,2,306,,,,,,,PR,1,2.165355521,41.39069552
04-2010-0188,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,8,2.131025036,41.38352989
02-2009-1153,L'EIXAMPLE,la Sagrada Família,CARRER,INDUSTRIA,1,165,,,,,,,4,2,2.175045026,41.41016533
02-2009-1154,L'EIXAMPLE,la Sagrada Família,CARRER,INDUSTRIA,1,165,,,,,,,3,2,2.175045026,41.41016533
02-2009-1155,L'EIXAMPLE,la Sagrada Família,CARRER,INDUSTRIA,1,165,,,,,,,5,2,2.175045026,41.41016533
02-2010-0024,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,GRAN VIA,CORTS CATALANES,1,569,,,,,,A,PR,2,2.161490742,41.38465635
03-2010-0009,SANTS-MONTJUÏC,Sants,CARRER,WATT,1,15,,,,,,,1,1,2.139713079,41.3761112
03-2010-0010,SANTS-MONTJUÏC,la Font de la Guatlla,CARRER,CHOPIN,1,1,,,,,,,PR,1,2.146248725,41.37091014
02-2010-0045,L'EIXAMPLE,Sant Antoni,CARRER,VILADOMAT,1,107,,,,,,,5,1,2.157021072,41.37975983
02-2010-0047,L'EIXAMPLE,el Fort Pienc,CARRER,SICILIA,1,143,,,,,,,EN,2,2.177981264,41.39803211
10-2010-0022,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,PROVENÇA,2,556,,,,,,A,BJ,2,2.180679487,41.40891389
02-2010-0048,L'EIXAMPLE,la Sagrada Família,CARRER,VALENCIA,1,465,,,,,,,2,2,2.177936546,41.4038179
04-2010-0181,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,1,2.131025036,41.38352989
10-2009-0385,SANT MARTI,la Vila Olímpica del Poblenou,CARRER,RAMON TURRO,2,10,,,,,,,5,2,2.190783942,41.39067126
10-2009-0386,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,INDUSTRIA,2,226,,230,,,,,5,1,2.178076591,41.41223793
02-2010-0167,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,ENRIC GRANADOS,2,38,,40,,,,A,4,1,2.158849909,41.39060165
10-2009-0483,SANT MARTI,el Poblenou,AVINGUDA,DIAGONAL,1,137,,,,,,,2,3,2.198806517,41.4060358
02-2009-1077,L'EIXAMPLE,el Fort Pienc,CARRER,MARINA,2,142,,,,,,,EN,3,2.183541557,41.39769395
10-2009-0484,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,VALENCIA,2,568,,,,,,,5,1,2.183322592,41.40754243
10-2009-0485,SANT MARTI,el Camp de l'Arpa del Clot,CARRER,PROVENÇA,2,586,,,,,,,1,1,2.181933914,41.40979901
02-2009-1078,L'EIXAMPLE,Sant Antoni,GRAN VIA,CORTS CATALANES,2,448,,,,,,,EN,2,2.154475289,41.3786894
02-2009-0958,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,BJ,1,2.175111797,41.39253061
02-2009-0959,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,BJ,2,2.175111797,41.39253061
02-2009-0961,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,BJ,3,2.175111797,41.39253061
02-2009-0963,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,1,1,2.175111797,41.39253061
02-2009-0965,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,1,2,2.175111797,41.39253061
02-2009-0966,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,1,3,2.175111797,41.39253061
02-2009-0967,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,1,4,2.175111797,41.39253061
02-2009-0968,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,1,5,2.175111797,41.39253061
02-2009-0969,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,2,1,2.175111797,41.39253061
02-2009-0970,L'EIXAMPLE,la Dreta de l'Eixample,CARRER,CASP,2,74,,,,,,,2,2,2.175111797,41.39253061
07-2009-0174,HORTA-GUINARDÓ,el Baix Guinardó,TRAVESSERA,GRACIA,1,441,,,,,,,5,4,2.173273332,41.4112917
07-2009-0175,HORTA-GUINARDÓ,el Baix Guinardó,TRAVESSERA,GRACIA,1,441,,,,,,,1,4,2.173273332,41.4112917
07-2009-0176,HORTA-GUINARDÓ,el Baix Guinardó,TRAVESSERA,GRACIA,1,441,,,,,,,2,4,2.173273332,41.4112917
04-2010-0184,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,4,2.131025036,41.38352989
04-2010-0185,LES CORTS,les Corts,CARRER,JOAN GUELL,1,169,,,,,,,2,5,2.131025036,41.38352989
02-2009-0860,L'EIXAMPLE,la Nova Esquerra de l'Eixample,CARRER,ENTENÇA,2,140,B,,,,,,4,1,2.147659001,41.38210903
02-2010-0055,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,CARRER,PARIS,1,193,,,,,,,5,2,2.153195745,41.39373811
07-2009-0169,HORTA-GUINARDÓ,el Baix Guinardó,TRAVESSERA,GRACIA,1,441,,443,,,,,1,2,2.173273332,41.4112917
07-2009-0170,HORTA-GUINARDÓ,el Baix Guinardó,TRAVESSERA,GRACIA,1,441,,443,,,,,2,2,2.173273332,41.4112917
07-2009-0171,HORTA-GUINARDÓ,el Baix Guinardó,TRAVESSERA,GRACIA,1,441,,443,,,,,5,1,2.173273332,41.4112917
02-2009-0932,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,PR,4,2.161740552,41.39430074
02-2009-0933,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,PR,5,2.161740552,41.39430074
02-2009-0934,L'EIXAMPLE,la Dreta de l'Eixample,PASSEIG,GRACIA,1,83,,,,,,,PR,6,2.161740552,41.39430074
