N_EXPEDIENT,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA
01-2014-0066,01,CIUTAT VELLA,01,el Raval,Carrer,RAMELLERES,1,27,,,,,,,03,4
01-2014-0103,01,CIUTAT VELLA,01,el Raval,Carrer,TIGRE,2,10,,,,,,,1,1
01-2014-0155,01,CIUTAT VELLA,03,la Barceloneta,Carrer,SAFAREIGS,1,15,,,,,,,03,
01-2014-0226,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT PERE MES ALT,1,21,,,,,,,01,1
01-2014-0518,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,COMERCIAL,1,15,,,,,,,EN,1
01-2017-0031,01,CIUTAT VELLA,01,el Raval,Carrer,RAMBLA,1,89,,,,,,,PR,2
01-2017-0034,01,CIUTAT VELLA,01,el Raval,Carrer,RAMBLA,1,89,,,,,,,2,2
01-2017-0058,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,CARDERS,2,8,,,,,,,1,
01-2017-0070,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTER,1,1,,,,,,,3,4
01-2017-0302,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,RAMBLA,2,102,,104,,,,,PR,1
01-2017-0305,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,RAMBLA,2,102,,104,,,,,1,2
01-2017-0499,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,RAMBLA,2,102,,,,,,,PR,3
01-2018-0196,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,PETRITXOL,1,17,,,,,,,2,4
01-2018-0198,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,PETRITXOL,1,17,,,,,,,3,3
01-2018-0250,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,PORTAFERRISSA,1,27,,,,,,,5,
01-2018-0265,01,CIUTAT VELLA,04,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,1,21,,,,,,,2,
01-2018-0340,01,CIUTAT VELLA,02,el Barri Gòtic,Carrer,ESCUDELLERS,2,18,,,,,,,4,1
