CODI_EIXOS,M_CODI_EIXOS,BCN1,BCN2,BCN3,NOM,CARRCADAST,DOORNUM,CBARRI,NBARRI,CDISTRI,NDISTRIC,RCNUMBER,DATAINICI,ULTIMA_VISITA,X,Y,X_ED50,Y_ED50
ofic,serv,SERVEIS,SERVEIS,ALTRES,"Barna & Gesser Asesores","CL ROGER DE FLOR",157,07,"la Dreta de l Eixample",02,Eixample,0934712DF3803D,2011-08-25,12/02/2014,431008,4583468,"431008,8","4583468,8"
constr,serv,SERVEIS,SERVEIS,ALTRES,"Reixach Construccions","CL ROGER DE FLOR",159,07,"la Dreta de l Eixample",02,Eixample,0934711DF3803D,2011-08-25,12/02/2014,431005,4583472,"431005,5","4583472,2"
pelu,serv,SERVEIS,SERVEIS,ALTRES,"Art Nouveau Perruqueria","CL ROGER DE FLOR",159,07,"la Dreta de l Eixample",02,Eixample,0934711DF3803D,2011-08-25,12/02/2014,431000,4583478,431000,"4583478,8"
tall,tran,SERVEIS,SERVEIS,"REPARACIONS (ELECTRODOMÈSTICS I AUTOMÒBILS)",Aldany,"CL ROGER DE FLOR",161,07,"la Dreta de l Eixample",02,Eixample,0934710DF3803D,2013-11-09,12/02/2014,430990363549555,458347956898563,"430990,036","4583479,956"
educ,other,SERVEIS,SERVEIS,ENSENYAMENT,"Col-lego Public Carlit","CL ROGER DE FLOR",162,07,"la Dreta de l Eixample",02,Eixample,1134830DF3813C,2011-08-25,12/02/2014,431109,4583398,"431109,9","4583398,8"
cafe,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)",Picón,"CL ROGER DE FLOR",163,07,"la Dreta de l Eixample",02,Eixample,0934709DF3803D,2011-08-25,12/02/2014,430988,4583489,"430988,8","4583489,9"
banca,serv,SERVEIS,SERVEIS,"FINANCES I ASSEGURANCES","Comprem Or","CL ROGER DE FLOR",163,07,"la Dreta de l Eixample",02,Eixample,0934709DF3803D,2013-11-09,12/02/2014,430978493528948,458348469888719,"430978,849","4583484,469"
espo,ALTRES,ALTRES,ALTRES,ALTRES,"PISTES MUNICIPALS DE PETANCA JARDINS CAN CASTELLÓ",Castell¾,1-7,26,"Sant Gervasi - Galvany",05,"Sarrià-Sant Gervasi",,2013-04-16,16/04/2013,42816972737597,45834984150273,"428169,972","4583498,841"
moda,pers,"COMERÇ AL DETALL","EQUIPAMENT PERSONAL",VESTIR,"Outlet Cotton Reus","CL ROGER DE FLOR",166,07,"la Dreta de l Eixample",02,Eixample,1035715DF3813E,2011-08-25,12/02/2014,431066,4583450,"431066,6",4583450
rapi,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Kuk Comidas Rápidas","CL ROGER DE FLOR",167,07,"la Dreta de l Eixample",02,Eixample,0835702DF3803F,2011-08-25,12/02/2014,430943,4583535,"430943,3","4583535,5"
salud,serv,SERVEIS,SERVEIS,ALTRES,"Pelillos A La Mar","CL ROGER DE FLOR",167,07,"la Dreta de l Eixample",02,Eixample,0835702DF3803F,2013-11-09,12/02/2014,430937523259463,458352852850603,"430937,752","4583528,852"
fruit,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","FRUITES I VERDURES","J.Castella Frutas","CL ROGER DE FLOR",167,07,"la Dreta de l Eixample",02,Eixample,0835702DF3803F,2011-08-25,12/02/2014,430939,4583540,"430939,9",4583540
educ,other,SERVEIS,SERVEIS,ENSENYAMENT,"Colegio Maristes Inmaculada","CL ROGER DE FLOR",169,07,"la Dreta de l Eixample",02,Eixample,0835701DF3803F,2011-08-25,12/02/2014,430932,4583547,"430932,2","4583547,7"
espo,ALTRES,ALTRES,ALTRES,ALTRES,"COMPLEX ESPORTIU MUNICIPAL CREUETA DEL COLL",Castellterþol,15,28,"Vallcarca i els Penitents",06,Gràcia,,2013-04-16,16/04/2013,42865574918441,4585483473504,"428655,574","4585483,347"
educp,serv,SERVEIS,SERVEIS,ENSENYAMENT,"Escola D Educacio Infantil Xerric-Xerrac","CL ROGER DE FLOR",172,07,"la Dreta de l Eixample",02,Eixample,1035716DF3813E,2011-08-25,12/02/2014,431049,4583461,"431049,9","4583461,1"
apar,tran,SERVEIS,SERVEIS,ALTRES,"Parking Skating","CL ROGER DE FLOR",174,07,"la Dreta de l Eixample",02,Eixample,1035716DF3813E,2011-08-25,12/02/2014,431035,4583477,"431035,5","4583477,7"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","El Oso Goloso Restaurant","CL ROGER DE FLOR",177,07,"la Dreta de l Eixample",02,Eixample,0736604DF3803F,2011-08-25,12/02/2014,430806,4583675,"430806,6","4583675,5"
xarc,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","CARN I PORC","Jamones Quesos y Embutidos","CL ROGER DE FLOR",177,07,"la Dreta de l Eixample",02,Eixample,0736604DF3803F,2011-08-25,12/02/2014,430800,4583681,430800,"4583681,1"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",178,07,"la Dreta de l Eixample",02,Eixample,1035717DF3813E,2011-08-25,12/02/2014,431022,4583489,"431022,2","4583489,9"
arranj,serv,SERVEIS,SERVEIS,"MANTENIMENT, NETEJA I PRODUCCIÓ","Dilmar Ferretería Llaves","CL ROGER DE FLOR",185,07,"la Dreta de l Eixample",02,Eixample,0637711DF3803F,2011-08-25,12/02/2014,430762,4583719,"430762,2","4583719,9"
moda,pers,"COMERÇ AL DETALL","EQUIPAMENT PERSONAL",VESTIR,Informal,"CL ROGER DE FLOR",185,07,"la Dreta de l Eixample",02,Eixample,0637711DF3803F,2011-08-25,12/02/2014,430763,4583713,"430763,3","4583713,3"
pelu,serv,SERVEIS,SERVEIS,ALTRES,"Joan Perruqueria","CL ROGER DE FLOR",185,07,"la Dreta de l Eixample",02,Eixample,0637711DF3803F,2011-08-25,12/02/2014,430757,4583723,"430757,7","4583723,3"
cons,serv,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA",Sanitas,"CL ROGER DE FLOR",187,07,"la Dreta de l Eixample",02,Eixample,0637710DF3803F,2013-11-09,12/02/2014,430744692091498,458372158673306,"430744,469","4583721,158"
bar,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Tasca Opote","CL ROGER DE FLOR",188,07,"la Dreta de l Eixample",02,Eixample,0936724DF3803F,2011-08-25,12/02/2014,430959,4583555,"430959,9","4583555,5"
ardep,pers,"COMERÇ AL DETALL","OCI I CULTURA","JOGUINES I ESPORTS**","Víctor Esportes","CL ROGER DE FLOR",188,07,"la Dreta de l Eixample",02,Eixample,0936724DF3803F,2011-08-25,12/02/2014,430963,4583552,"430963,3","4583552,2"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",189,07,"la Dreta de l Eixample",02,Eixample,0637709DF3803F,2013-11-09,12/02/2014,430737202037236,458373025666234,"430737,72","4583730,025"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Next Restaurant","CL ROGER DE FLOR",190,07,"la Dreta de l Eixample",02,Eixample,0936725DF3803F,2011-08-25,12/02/2014,430957,4583559,"430957,7","4583559,9"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",191,07,"la Dreta de l Eixample",02,Eixample,0637708DF3803F,2011-08-25,12/02/2014,430738,4583745,"430738,8","4583745,5"
espo,ALTRES,ALTRES,ALTRES,ALTRES,"PISTES MUNICIPALS DE PETANCA PARC CREUETA DEL COLL",Castellterþol,"24-26 [Par",28,"Vallcarca i els Penitents",06,Gràcia,,2013-04-16,16/04/2013,42868475054534,45855054741569,"428684,475","4585505,547"
ofic,serv,SERVEIS,SERVEIS,ALTRES,"La Caixa Obra Social","CL ROGER DE FLOR",193,07,"la Dreta de l Eixample",02,Eixample,0637707DF3803F,2013-11-09,12/02/2014,430717581917431,458375002648174,"430717,758","4583750,002"
constr,serv,SERVEIS,SERVEIS,ALTRES,"Faust Y Kammann Tubería Accesorios y Válvulas","CL ROGER DE FLOR",195,07,"la Dreta de l Eixample",02,Eixample,0637706DF3803F,2011-08-25,12/02/2014,430718,4583764,"430718,8","4583764,4"
caps,other,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA","CAP Salud","CL ROGER DE FLOR",198,07,"la Dreta de l Eixample",02,Eixample,0936727DF3803F,2011-08-25,12/02/2014,430946,4583568,"430946,6","4583568,8"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",200,07,"la Dreta de l Eixample",02,Eixample,0936728DF3803F,2013-11-09,12/02/2014,430947702674227,458360352846466,"430947,77","4583603,352"
apar,tran,SERVEIS,SERVEIS,ALTRES,"Garatge Parking","CL ROGER DE FLOR",200,07,"la Dreta de l Eixample",02,Eixample,0936728DF3803F,2011-08-25,12/02/2014,430931,4583582,"430931,1","4583582,2"
cafe,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Toni Cafetería Bar","CL ROGER DE FLOR",201,07,"la Dreta de l Eixample",02,Eixample,0638110DF3803H,2011-08-25,12/02/2014,430670,4583813,430670,"4583813,3"
educp,serv,SERVEIS,SERVEIS,ENSENYAMENT,"Teacher s Schools","CL ROGER DE FLOR",202,07,"la Dreta de l Eixample",02,Eixample,0936729DF3803F,2011-08-25,12/02/2014,430919,4583596,"430919,9","4583596,6"
fruit,quot,"COMERÇ AL DETALL","QUOTIDIÀ ALIMENTARI","FRUITES I VERDURES",Ozomynu,"CL ROGER DE FLOR",202,07,"la Dreta de l Eixample",02,Eixample,0936729DF3803F,2013-11-09,12/02/2014,430930182708518,458360257833286,"430930,018","4583602,257"
rapi,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","El Bolichin Granja Sandwicheria","CL ROGER DE FLOR",204,07,"la Dreta de l Eixample",02,Eixample,0936730DF3803F,2011-08-25,12/02/2014,430916,4583599,"430916,6","4583599,9"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Bona Sort","CL ROGER DE FLOR",204,07,"la Dreta de l Eixample",02,Eixample,0936730DF3803F,2011-08-25,12/02/2014,430913,4583602,"430913,3","4583602,2"
cons,serv,SERVEIS,SERVEIS,"SANITAT I ASSISTÈNCIA","Droquiral Quimica","CL ROGER DE FLOR",207,07,"la Dreta de l Eixample",02,Eixample,0638110DF3803H,2013-11-09,12/02/2014,430662241543148,458381057596479,"430662,224","4583810,057"
tint,serv,SERVEIS,SERVEIS,ALTRES,"Press To","CL ROGER DE FLOR",208,07,"la Dreta de l Eixample",02,Eixample,0936730DF3803F,2011-08-25,12/02/2014,430909,4583610,"430909,9",4583610
cafe,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Cachitos Café","CL ROGER DE FLOR",208,07,"la Dreta de l Eixample",02,Eixample,0936730DF3803F,2011-08-25,12/02/2014,430909,4583604,"430909,9","4583604,4"
rapi,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)",Nostrum,"CL ROGER DE FLOR",209,07,"la Dreta de l Eixample",02,Eixample,0638109DF3803H,2013-11-09,12/02/2014,430652441488734,458381973587572,"430652,244","4583819,973"
rapi,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)"," Pren-  Algo   Bar Frankfurt ","CL ROGER DE FLOR",209,07,"la Dreta de l Eixample",02,Eixample,0638109DF3803H,2011-08-25,12/02/2014,430656,4583828,"430656,6","4583828,8"
masco,serv,SERVEIS,SERVEIS,ALTRES,"Amores Perros","CL ROGER DE FLOR",211,07,"la Dreta de l Eixample",02,Eixample,0638122DF3803H,2013-11-09,12/02/2014,43064497142335,458382986580284,"430644,497","4583829,986"
localb,locb,"LOCAL BUIT","LOCAL BUIT","LOCAL BUIT","Local Buit","CL ROGER DE FLOR",213,07,"la Dreta de l Eixample",02,Eixample,0638107DF3803H,2011-08-25,12/02/2014,430640,4583845,430640,"4583845,5"
disco,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","La Taverna De Dora","CL ROGER DE FLOR",215,07,"la Dreta de l Eixample",02,Eixample,0638107DF3803H,2013-11-09,12/02/2014,430628911360615,458384139566239,"430628,891","4583841,139"
constr,serv,SERVEIS,SERVEIS,ALTRES,"IR Instalacions I Reformes","CL ROGER DE FLOR",216,07,"la Dreta de l Eixample",02,Eixample,0837724DF3803F,2011-08-25,12/02/2014,430828,4583689,"430828,8","4583689,9"
pelu,serv,SERVEIS,SERVEIS,ALTRES,"Coronados Perruqueria","CL ROGER DE FLOR",216,07,"la Dreta de l Eixample",02,Eixample,0837724DF3803F,2011-08-25,12/02/2014,430832,4583685,"430832,2","4583685,5"
rest,host,SERVEIS,SERVEIS,"RESTAURANTS, BARS I HOTELS (INCLÒS HOSTALS, PENSIONS I FONDES)","Arc Iris Restaurant Vegetar?a","CL ROGER DE FLOR",216,07,"la Dreta de l Eixample",02,Eixample,0837724DF3803F,2011-08-25,12/02/2014,430837,4583682,"430837,7","4583682,2"
