"ID_BCN","ID_PRINCIP","N_PRINCIP","ID_SECTOR","N_SECTOR","ID_GRUPACT","N_GRUPACT","ID_ACT","N_ACT","N_LOCAL","SN_CARRER","SN_MERCAT","ID_MERCAT","N_MERCAT","SN_GALERIA","N_GALERIA","SN_CCOMERC","ID_CCOMERC","N_CCOMERC","N_CARRER","NUM_POLICI","REF_CAD","DATA","Codi_Barri","Nom_Barri","Codi_Districte","N_DISTRI","N_EIX","SN_EIX","SEC_CENS","Y_UTM_ETRS","X_UTM_ETRS","LATITUD","LONGITUD"
62570,2,"Sense informació",4,"Sense informació",444,"-",444,"-","PERRUQUERIA ALI AYOUB",1,0,0," ",0," ",0,"0"," ","MARQUES DE CAMPO SAGRA",12,"0209305DF3800G",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2171,4580794.198,430085.474,41.375631,2.163928
62571,1,"Actiu",1,"Comerç al detall",5,"Oci i cultura",5001,"Joguines i esports","SPORT BRASIL",1,0,0," ",0," ",0,"0"," ","AV MISTRAL",71,"9310707DF2891A",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2154,4580794.379,429249.569,41.375559,2.153933
62572,0,"Sense activitat",22,"Locals buits en lloguer",222,"-",222,"-","SN",1,0,0," ",0," ",0,"0"," ","FLORIDABLANCA",10,"9409418DF2890G",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2154,4580794.395,429322.636,41.375566,2.154807
62573,1,"Actiu",1,"Comerç al detall",1,"Quotidià alimentari",1002,"Carn i Porc","XARCUTERIA EL JABALI DE RONDA",1,0,0," ",0," ",0,"0"," ","PARLAMENT",5,"9910216DF2891B",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2173,4580794.492,429862.332,41.375614,2.16126
62574,1,"Actiu",2,"Serveis",16,"Altres",16112,"Altres","CRISTALITA",1,0,0," ",0," ",0,"0"," ","ALDANA",3,"0310213DF3801A",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2170,4580794.541,430242.36,41.375648,2.165804
62575,1,"Actiu",2,"Serveis",16,"Altres",16111,"Serveis Socials","NORAY CENTRE DE DIA",1,0,0," ",0," ",0,"0"," ","TAMARIT",92,"9609419DF2890H",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2155,4580794.958,429516.769,41.375588,2.157128
62576,1,"Actiu",2,"Serveis",10,"Equipaments culturals i recreatius",10000,"Equipaments culturals i recreatius","SALA VIVALDI",1,0,0," ",0," ",0,"0"," ","LLANÇA",5,"9009505DF2890G",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2150,4580794.998,429028.487,41.375546,2.151289
62577,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","RESTAURANT 7 BIRRES",1,0,0," ",0," ",0,"0"," ","ENTENÇA",7,"9409405DF2890G",2016-09-13,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2154,4580795.189,429402.313,41.37558,2.155759
62578,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","EL CAFETO",1,0,0," ",0," ",0,"0"," ","RD SANT PAU",11,"0309509DF3800G",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2170,4580795.537,430327.634,41.375664,2.166824
62579,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","BAR BODEGA GOL",1,0,0," ",0," ",0,"0"," ","PARLAMENT",10,"0009323DF3800G",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2171,4580795.614,429894.809,41.375627,2.161648
62580,1,"Actiu",2,"Serveis",14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",14000,"Serveis de menjar i begudes","RESTAURANT L'ANTIC MAGATZEM",1,0,0," ",0," ",0,"0"," ","ALDANA",8,"0309504DF3800G",2016-09-12,10,"Sant Antoni",2,"Eixample","Sant Antoni Comerç",1,2170,4580795.873,430280.809,41.375663,2.166264
61304,1,"Actiu",1,"Comerç al detall",2,"Quotidià no alimentari",2001,"Drogueria i perfumeria","MARIONNAUD",1,0,0," ",0," ",0,"0"," ","TAJO",58,"9970107DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586810.004,429817.35,41.42979,2.160025
61305,1,"Actiu",2,"Serveis",11,"Finances i assegurances",11000,"Finances i assegurances","SANTANDER",1,0,0," ",0," ",0,"0"," ","PERE PAU",23,"9970113DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586810.135,429765.1,41.429786,2.159399
61306,1,"Actiu",1,"Comerç al detall",1,"Quotidià alimentari",1000,"Resta alimentació","CARREFOUR EXPRESS",1,0,0," ",0," ",0,"0"," ","LISBOA",10,"9770709DF2897B",2016-10-13,43,"Horta",7,"Horta-Guinardó","Cor d'Horta i Mercat",1,7118,4586810.182,429704.171,41.429781,2.15867
